ID,Categoria,Cedula Funcionario,Nombre Funcionario,Cedula Solicitante,Nombre Solicitante,ID ítem,Nombre,Cantidad Solicitada,Cantidad Entregada,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Dias Transcurridos
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,16059,Cuaderno de doble línea,"12,00","0,00",2026,Qtr 4,November,29,,,,,0
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15307,ANFOTERICINA B 50 mg,"15,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15313,ASPARAGINASA (E. Coli) 10000UI,"14,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15463,DEXTROSA (GLUCOSA) 10.00%,"12,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15579,"GLICERINA 1,68 g","12,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15596,IBUPROFENO 5ml,"16,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15618,INTERFERON ALFA 2 B 5 MUI,"13,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15619,INTERFERON ALFA 2 B 3 MUI,"10,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15670,"MEDROXIPROGESTERONA ACETATO 2,5mg","16,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15682,METFORMINA 850 mg,"14,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15705,MICOFENOLATO MOFETIL 500mg,"19,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
507,Prótesis,8534934,ZENON,14202910,YESENIA ALEXANDRA MENENDEZ,15849,SULFATO FERROSO (HIERRO ELEMENTAL) 150mg,"15,00","0,00",2026,Qtr 4,November,27,2027,Qtr 1,January,1,35
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15222,Cita para prueba de función hepática,"14,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15235,Cita para ecocardiograma,"19,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15279,ALENDRONATO SODICO 70 mg,"19,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15321,AZITROMICINA 500 mg,"13,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15343,"BUDESONIDA 0,2ml","35,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15366,"CEFOTAXIMA 0,5 g","11,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15394,CITARABINA (CITOSINA ARABINOSA) 100 mg,"18,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15668,MANITOL 10%,"12,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15872,TRIFLUOPERAZINA 10 mg,"16,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15919,Prótesis de codo,"13,00","0,00",2026,Qtr 1,January,12,,,,,0
262,Utiles escolares,8222295,ZAIDA NICOLASA   MARIN DE,13380798,RAFAEL C BENAVENTE,15973,Prótesis de lengua,"16,00","0,00",2026,Qtr 1,January,12,,,,,0
165,Ayudas funerarias,20111526,YUSALVYS JOSEFINA VELASQUEZ,18028859,ANA KARINA  PEREIRA,15240,Cita para densitometría ósea,"19,00","0,00",2026,Qtr 4,December,13,,,,,0
165,Ayudas funerarias,20111526,YUSALVYS JOSEFINA VELASQUEZ,18028859,ANA KARINA  PEREIRA,15242,ACETAMINOFEN 120 mg,"16,00","0,00",2026,Qtr 4,December,13,,,,,0
165,Ayudas funerarias,20111526,YUSALVYS JOSEFINA VELASQUEZ,18028859,ANA KARINA  PEREIRA,15380,CICLOSPORINA 100 ml,"15,00","0,00",2026,Qtr 4,December,13,,,,,0
165,Ayudas funerarias,20111526,YUSALVYS JOSEFINA VELASQUEZ,18028859,ANA KARINA  PEREIRA,15692,METOPROLOL 100mg,"12,00","0,00",2026,Qtr 4,December,13,,,,,0
165,Ayudas funerarias,20111526,YUSALVYS JOSEFINA VELASQUEZ,18028859,ANA KARINA  PEREIRA,15769,PIRAZINAMIDA 400 mg,"12,00","0,00",2026,Qtr 4,December,13,,,,,0
165,Ayudas funerarias,20111526,YUSALVYS JOSEFINA VELASQUEZ,18028859,ANA KARINA  PEREIRA,15925,Prótesis auditiva implantable,"13,00","0,00",2026,Qtr 4,December,13,,,,,0
165,Ayudas funerarias,20111526,YUSALVYS JOSEFINA VELASQUEZ,18028859,ANA KARINA  PEREIRA,15988,Muletas axilares,"14,00","0,00",2026,Qtr 4,December,13,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15278,ALBUMINA HUMANA 25 %,"14,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15343,"BUDESONIDA 0,2ml","11,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15411,CLORFENIRAMINA 5 ml,"10,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15464,DEXTROSA (GLUCOSA) 50.00%,"12,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15592,HIDRÓXIDO DE ALUMINIO Y MAGNESIO 5 ml,"18,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15721,NEVIRAPINA 200 mg,"12,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15732,NITROGLICERINA 5 mg,"16,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15768,PIPERAZINA 100ml,"15,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15796,RANITIDINA 2ml,"17,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15813,SALMETEROL 25 mcg,"15,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15870,TRIAMCINOLONA ACETONIDA 40 mg,"19,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,15967,Prótesis de válvula tricúspide,"15,00","0,00",2026,Qtr 3,July,17,,,,,0
211,Prótesis,20111526,YUSALVYS JOSEFINA VELASQUEZ,8508489,JOSE DE LOS SANTOS PARRA,16022,Pasta larga seca,"18,00","0,00",2026,Qtr 3,July,17,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15319,"ATROPINA SULFATO 0,5ml","19,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15386,"CIPROFLOXACINA oftálmica 3,5 mg","16,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15426,"CLORURO DE SODIO 0,45 %","11,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15488,DOXORUBICINA 100 mg,"19,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15489,DOXORUBICINA 50 mg,"15,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15686,METILFENIDATO 10 mg,"18,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15718,NELFINAVIR 50g,"16,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15721,NEVIRAPINA 200 mg,"11,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15781,PRIMETAMINA/SULFADOXINA 25 mg,"10,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,15972,Prótesis de paladar,"10,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,16062,Lápiz grafito,"19,00","0,00",2026,Qtr 1,March,10,,,,,0
272,Medicamentos,20111526,YUSALVYS JOSEFINA VELASQUEZ,8599916,JESUS,16082,Papel de construcción,"15,00","0,00",2026,Qtr 1,March,10,,,,,0
519,Medicamentos,1168463,Yurbes EMILIA Munos DE,16228991,ROMER,15213,Cita para examen de glucosa,"12,00","0,00",2026,Qtr 1,March,3,,,,,0
519,Medicamentos,1168463,Yurbes EMILIA Munos DE,16228991,ROMER,15282,ALFA METIL DOPA 500 mg,"18,00","0,00",2026,Qtr 1,March,3,,,,,0
519,Medicamentos,1168463,Yurbes EMILIA Munos DE,16228991,ROMER,15467,DIAZEPAM 10 mg,"11,00","0,00",2026,Qtr 1,March,3,,,,,0
519,Medicamentos,1168463,Yurbes EMILIA Munos DE,16228991,ROMER,15787,PROTAMINA 10 mg,"14,00","0,00",2026,Qtr 1,March,3,,,,,0
519,Medicamentos,1168463,Yurbes EMILIA Munos DE,16228991,ROMER,15788,PROTAMINA 10 ml,"18,00","0,00",2026,Qtr 1,March,3,,,,,0
519,Medicamentos,1168463,Yurbes EMILIA Munos DE,16228991,ROMER,15858,TINIDAZOL 200 mg,"14,00","0,00",2026,Qtr 1,March,3,,,,,0
519,Medicamentos,1168463,Yurbes EMILIA Munos DE,16228991,ROMER,16010,Drapes adhesivos,"15,00","0,00",2026,Qtr 1,March,3,,,,,0
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15228,Cita para ecografía abdominal,"11,00","10,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15285,AMIKACINA 500 mg,"11,00","10,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15414,CLOROQUINA (CLOROQUINA BASE) 50 mg,"18,00","9,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15497,ENFLURANO 100%,"11,00","6,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15568,GEMCITABINA 200 mg,"19,00","14,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15708,MIDAZOLAM 3ml,"16,00","7,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15819,SOLUCION PARA HEMODIALISIS: GLUCOSA CON POTASIO,"19,00","7,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
94,Equipos de movilidad asistida,13159799,YOLANDA ACEVEDO DE,11234947,JOSE CANDIDO GOMEZ DE,15878,VACUNA CONTRA EL SARAMPION,"10,00","3,00",2026,Qtr 3,August,18,2026,Qtr 3,September,20,33
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15303,AMPICILINA+SULBACTAM 500 mg,"10,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15363,CEFOPERAZONA SULBACTAM 1g,"10,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15377,CICLOSPORINA 50 mg,"16,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15504,ESPIRONOLACTONA 25 mg,"10,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15519,FACTOR ESTIMULANTE DE GRANULOCITOS Y MACROFAGOS (GM-CSF) (MOLGRAMOSTIN) 300 mcg,"13,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15558,FOSFATO MONOBÁSICO DE POTASIO 10%,"13,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15704,MEXILETINA 200mg,"16,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15705,MICOFENOLATO MOFETIL 500mg,"17,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15826,"SOLUCIONES PARA DIÁLISIS PERITONEAL 1,5 %","10,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15846,SULFATO FERROSO (HIERRO ELEMENTAL) 300mg (60mg),"10,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15854,TIERRA DE FULLER 60 g,"18,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15882,VACUNA CONTRA LA HEPATITIS B (ANTIHEPATITIS B) 20ug,"16,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,15939,Prótesis de disco intervertebral,"13,00","0,00",2026,Qtr 4,December,28,,,,,0
183,Apoyo financiero para cirugías,13159799,YOLANDA ACEVEDO DE,13886379,KETTY ANGELICA REBOLLADO,16065,Borrador,"11,00","0,00",2026,Qtr 4,December,28,,,,,0
508,Ayudas funerarias,12515157,YARITZA SUSANA CABRERA,24700805,JYOTSNA ALEJANDRA NOGUERA,15686,METILFENIDATO 10 mg,"17,00","2,00",2025,Qtr 1,January,30,2025,Qtr 2,April,1,61
508,Ayudas funerarias,12515157,YARITZA SUSANA CABRERA,24700805,JYOTSNA ALEJANDRA NOGUERA,15727,NIMODIPINA 50ml,"12,00","8,00",2025,Qtr 1,January,30,2025,Qtr 2,April,1,61
508,Ayudas funerarias,12515157,YARITZA SUSANA CABRERA,24700805,JYOTSNA ALEJANDRA NOGUERA,15741,ONDANSETRON 8mg,"13,00","6,00",2025,Qtr 1,January,30,2025,Qtr 2,April,1,61
508,Ayudas funerarias,12515157,YARITZA SUSANA CABRERA,24700805,JYOTSNA ALEJANDRA NOGUERA,15752,OXITOCINA 10ml,"12,00","4,00",2025,Qtr 1,January,30,2025,Qtr 2,April,1,61
508,Ayudas funerarias,12515157,YARITZA SUSANA CABRERA,24700805,JYOTSNA ALEJANDRA NOGUERA,15977,Silla de ruedas plegable,"16,00","9,00",2025,Qtr 1,January,30,2025,Qtr 2,April,1,61
508,Ayudas funerarias,12515157,YARITZA SUSANA CABRERA,24700805,JYOTSNA ALEJANDRA NOGUERA,16073,Resaltador,"14,00","5,00",2025,Qtr 1,January,30,2025,Qtr 2,April,1,61
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,15297,AMOXICILINA CLAVULANICO 125 mg,"15,00","0,00",2025,Qtr 3,September,19,,,,,0
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,15382,CIPROFLOXACINA 200 mg,"13,00","0,00",2025,Qtr 3,September,19,,,,,0
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,15390,CISPLATINO  50 ml,"15,00","0,00",2025,Qtr 3,September,19,,,,,0
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,15413,CLOROQUINA (CLOROQUINA BASE) 150 mg,"13,00","0,00",2025,Qtr 3,September,19,,,,,0
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,15513,ETOPOSIDO  5ml,"11,00","0,00",2025,Qtr 3,September,19,,,,,0
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,15796,RANITIDINA 2ml,"14,00","0,00",2025,Qtr 3,September,19,,,,,0
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,15870,TRIAMCINOLONA ACETONIDA 40 mg,"11,00","0,00",2025,Qtr 3,September,19,,,,,0
531,Citas para exámenes de laboratorio,12515157,YARITZA SUSANA CABRERA,4744192,Isabel Maria MARIA Cobo Leal,16023,Sémola de trigo,"11,00","0,00",2025,Qtr 3,September,19,,,,,0
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,15347,BUSULFANO 2 mg,"18,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,15421,CLORURO DE POTASIO 1 meq,"12,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,15554,FLUOXETINA 20mg,"14,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,15560,FOSFOLIPIDO DE PULMON BOVINO 4ml,"16,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,15642,LEVODOPA / CARBIDOPA 25mg,"17,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,15706,MICOFENOLATO MOFETIL 250mg,"12,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,15938,Prótesis vertebral,"13,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
481,Insumos quirúrgicos,19840582,YARITZA MARGARITA BARRERO,16741403,JOSE,16030,Arvejas secas,"15,00","0,00",2025,Qtr 1,January,9,2025,Qtr 1,February,11,33
164,Financiamiento deportivo,14053571,YANIRE,17332893,LUIS,15241,ACETAMINOFEN 500 mg,"16,00","0,00",2026,Qtr 1,March,27,,,,,0
164,Financiamiento deportivo,14053571,YANIRE,17332893,LUIS,15244,ACETAMINOFEN 100 mg,"18,00","0,00",2026,Qtr 1,March,27,,,,,0
164,Financiamiento deportivo,14053571,YANIRE,17332893,LUIS,15344,"BUPIVACAINA 0,50 %","18,00","0,00",2026,Qtr 1,March,27,,,,,0
164,Financiamiento deportivo,14053571,YANIRE,17332893,LUIS,15579,"GLICERINA 1,68 g","11,00","0,00",2026,Qtr 1,March,27,,,,,0
164,Financiamiento deportivo,14053571,YANIRE,17332893,LUIS,15830,SUCCINILCOLINA (SUXAMETONIO)  ml,"11,00","0,00",2026,Qtr 1,March,27,,,,,0
164,Financiamiento deportivo,14053571,YANIRE,17332893,LUIS,15886,VANCOMICINA 1 g,"18,00","0,00",2026,Qtr 1,March,27,,,,,0
164,Financiamiento deportivo,14053571,YANIRE,17332893,LUIS,15931,Prótesis de válvula cardíaca,"12,00","0,00",2026,Qtr 1,March,27,,,,,0
303,Equipos de movilidad asistida,14053571,YANIRE,18819029,YOUSEFF  ABDOU EL,15224,Cita para examen de electrolitos,"12,00","0,00",2025,Qtr 3,August,11,,,,,0
303,Equipos de movilidad asistida,14053571,YANIRE,18819029,YOUSEFF  ABDOU EL,15262,ÁCIDO FÓLICO 10 mg,"16,00","0,00",2025,Qtr 3,August,11,,,,,0
303,Equipos de movilidad asistida,14053571,YANIRE,18819029,YOUSEFF  ABDOU EL,15376,CICLOFOSFAMIDA 1 g,"12,00","0,00",2025,Qtr 3,August,11,,,,,0
303,Equipos de movilidad asistida,14053571,YANIRE,18819029,YOUSEFF  ABDOU EL,15386,"CIPROFLOXACINA oftálmica 3,5 mg","18,00","0,00",2025,Qtr 3,August,11,,,,,0
303,Equipos de movilidad asistida,14053571,YANIRE,18819029,YOUSEFF  ABDOU EL,15439,DACARBAZINA 100 mg,"12,00","0,00",2025,Qtr 3,August,11,,,,,0
